account_id,bot_score,confidence,confidence_method,cluster_id,is_noise,likely_model,model_confidence,llm_phrase_density,typo_rate,naturalness_score,formality_variance,is_stealth_suspect,vocabulary_uniformity,structural_regularity,hedging_signature,temporal_contextual,cross_account_correlation
gpt4_account_08,0.7019,0.751973181196212,clustering,1,False,gpt4,0.923820352472996,2.0833,0.0,0.5,0.160573,False,0.4096,0.8489,0.5119,0.7567,0.9544
gpt4_account_06,0.7019,0.751973181196212,clustering,1,False,gpt4,0.923820352472996,2.0833,0.0,0.5,0.160573,False,0.4096,0.8489,0.5119,0.7567,0.9544
gpt4_account_00,0.7019,0.751973181196212,clustering,1,False,gpt4,0.923820352472996,2.0833,0.0,0.5,0.160573,False,0.4096,0.8489,0.5119,0.7567,0.9544
gpt4_account_03,0.7019,0.751973181196212,clustering,1,False,gpt4,0.923820352472996,2.0833,0.0,0.5,0.160573,False,0.4096,0.8489,0.5119,0.7567,0.9544
stealth_op_c_acct04,0.5903,0.7299399301097085,clustering,4,False,human,0.9175257731958762,0.0825,0.008,0.25,0.000861,False,0.3718,0.7191,0.2485,0.706,0.9835
stealth_op_c_acct00,0.5695,0.7093249786729082,stealth_detection,4,False,stealth_bot,0.5102,0.0223,0.0153,0.5,0.000583,True,0.3576,0.6576,0.2613,0.7567,0.9871
stealth_op_d_acct02,0.5586,0.693115311057508,clustering,4,False,human,0.8920086393088553,0.108,0.0124,0.5,0.000589,False,0.3667,0.5984,0.285,0.8271,0.9827
stealth_op_a_acct03,0.555,0.6930659352969719,clustering,4,False,human,0.9071207430340558,0.0929,0.0269,0.5,0.002366,False,0.3387,0.6053,0.2775,0.8271,0.9838
stealth_op_c_acct01,0.5439,0.6883459281020035,stealth_detection,4,False,stealth_bot,0.5102,0.0667,0.0065,0.5,0.000833,True,0.3457,0.6039,0.2605,0.7641,0.9869
stealth_op_b_acct04,0.5368,0.6804705716629051,clustering,4,False,human,0.8969072164948454,0.1031,0.0196,0.75,0.00735,False,0.3822,0.5787,0.2424,0.7648,0.9781
stealth_op_b_acct02,0.5154,0.6627278914546607,clustering,4,False,human,0.9545454545454546,0.0455,0.0214,0.5,0.001544,False,0.3639,0.5329,0.2118,0.8125,0.9827
stealth_op_c_acct02,0.5094,0.6622251450971495,clustering,4,False,human,0.9295774647887324,0.0704,0.0092,0.5,0.000874,False,0.3721,0.5423,0.2731,0.6727,0.9816
human_jamescalderwood,0.7014,0.6401141188151507,individual,-1,True,human,1.0,0.0,0.0,0.0,0.000504,False,0.772,0.7702,0.45,0.5573,0.9869
human_account_09,0.6049,0.6253966784004755,stealth_detection,2,False,stealth_bot,0.6329,0.0,0.05,0.25,0.004815,True,0.3466,0.7806,0.4446,0.4556,0.9856
human_account_00,0.6045,0.6252305827017329,stealth_detection,2,False,stealth_bot,0.6329,0.0,0.05,0.25,0.004815,True,0.3466,0.7797,0.4446,0.4556,0.9858
human_account_03,0.6003,0.6234207410516202,stealth_detection,2,False,stealth_bot,0.6329,0.0,0.05,0.25,0.004815,True,0.3466,0.7701,0.4446,0.4556,0.9875
